,year,total_crabs,adult_fems,juveniles,total_crabs_density,adult_fems_density,juveniles_density
3,1993,852000000,177000000,503000000,86.93877551020408,18.06122448979592,51.326530612244895
4,1994,487000000,102000000,295000000,49.69387755102041,10.408163265306122,30.102040816326532
5,1995,487000000,80000000,300000000,49.69387755102041,8.16326530612245,30.612244897959183
6,1996,661000000,108000000,476000000,67.44897959183673,11.020408163265307,48.57142857142857
7,1997,680000000,93000000,512000000,69.38775510204081,9.489795918367347,52.244897959183675
8,1998,353000000,106000000,66000000,36.02040816326531,10.816326530612244,6.73469387755102
9,1999,308000000,53000000,223000000,31.428571428571427,5.408163265306122,22.755102040816325
10,2000,281000000,93000000,135000000,28.6734693877551,9.489795918367347,13.775510204081632
11,2001,254000000,61000000,156000000,25.918367346938776,6.224489795918367,15.918367346938776
12,2002,315000000,55000000,194000000,32.142857142857146,5.612244897959184,19.79591836734694
13,2003,334000000,84000000,172000000,34.08163265306123,8.571428571428571,17.551020408163264
14,2004,270000000,82000000,143000000,27.551020408163264,8.36734693877551,14.591836734693878
15,2005,400000000,110000000,242000000,40.816326530612244,11.224489795918368,24.693877551020407
16,2006,313000000,85000000,196000000,31.93877551020408,8.673469387755102,20.0
17,2007,251000000,89000000,112000000,25.612244897959183,9.081632653061224,11.428571428571429
18,2008,293000000,91000000,166000000,29.897959183673468,9.285714285714286,16.93877551020408
19,2009,396000000,162000000,170000000,40.40816326530612,16.53061224489796,17.346938775510203
20,2010,663000000,246000000,348000000,67.65306122448979,25.102040816326532,35.51020408163265
21,2011,452000000,191000000,204000000,46.12244897959184,19.489795918367346,20.816326530612244
22,2012,765000000,95000000,581000000,78.06122448979592,9.693877551020408,59.285714285714285
23,2013,300000000,147000000,111000000,30.612244897959183,15.0,11.326530612244898
24,2014,297000000,69000000,199000000,30.306122448979593,7.040816326530612,20.306122448979593
25,2015,411000000,101000000,269000000,41.93877551020408,10.306122448979592,27.448979591836736
26,2016,553000000,194000000,271000000,56.42857142857143,19.79591836734694,27.653061224489797
27,2017,455000000,254000000,125000000,46.42857142857143,25.918367346938776,12.755102040816327
28,2018,371000000,147000000,167000000,37.857142857142854,15.0,17.040816326530614
29,2019,594000000,191000000,324000000,60.61224489795919,19.489795918367346,33.06122448979592
30,2020,405000000,141000000,185000000,41.326530612244895,14.387755102040817,18.877551020408163
31,2021,282000000,158000000,86000000,28.775510204081634,16.122448979591837,8.775510204081632
32,2022,227000000,97000000,101000000,23.163265306122447,9.89795918367347,10.306122448979592
33,2023,323000000,152000000,116000000,32.95918367346939,15.510204081632653,11.83673469387755
